************************New Entry**********************
startDate :2019-03-19	EndDate:2019-04-04	 VHI_mean: 0.3818795186610426	TCI_mean:0.2699123434087711	NDVI_mean:0.18490685231028423	VCI_mean:0.4938466939133096	Drought_index_mean: 4.220886436625944
******************************End of Entry**********************************************************New Entry**********************
startDate :2021-03-24	EndDate:2021-04-09	 VHI_mean: 0.5942605110075715	TCI_mean:0.6833465734672312	NDVI_mean:0.20820007988020156	VCI_mean:0.5051744485479097	Drought_index_mean: 4.999993969683071
******************************End of Entry**********************************************************New Entry**********************
startDate :2021-03-24	EndDate:2021-04-09	 VHI_mean: 0.5942605110075715	TCI_mean:0.6833465734672312	NDVI_mean:0.20820007988020156	VCI_mean:0.5051744485479097	Drought_index_mean: 4.999993969683071
******************************End of Entry**********************************************************New Entry**********************
startDate :2019-07-09	EndDate:2019-07-25	 VHI_mean: 0.38961007220106203	TCI_mean:0.30065085620877535	NDVI_mean:0.17716954736927273	VCI_mean:0.4785692881933473	Drought_index_mean: 4.289848546833883
******************************End of Entry**********************************************************New Entry**********************
startDate :2019-08-10	EndDate:2019-08-26	 VHI_mean: 0.35238762926331124	TCI_mean:0.27196349290075367	NDVI_mean:0.1536913079164443	VCI_mean:0.43281176562586815	Drought_index_mean: 3.975608602456344
******************************End of Entry**********************************************************New Entry**********************
startDate :2020-08-28	EndDate:2020-09-13	 VHI_mean: 0.41567894949863304	TCI_mean:0.30657250939784947	NDVI_mean:0.2036686617946228	VCI_mean:0.5247853895994207	Drought_index_mean: 4.490921911375705
******************************End of Entry**********************************************************New Entry**********************
startDate :2021-07-14	EndDate:2021-07-30	 VHI_mean: 0.39566296691738106	TCI_mean:0.29297047355709166	NDVI_mean:0.16463245028544762	VCI_mean:0.49835546027767114	Drought_index_mean: 4.373694611988425
******************************End of Entry**********************************************************New Entry**********************
startDate :2021-07-30	EndDate:2021-08-15	 VHI_mean: 0.3909227396120693	TCI_mean:0.29372000550980115	NDVI_mean:0.15468053083713904	VCI_mean:0.4881254737143352	Drought_index_mean: 4.332288227635124
******************************End of Entry**********************************************************New Entry**********************
startDate :2021-08-15	EndDate:2021-08-31	 VHI_mean: 0.453070244349341	TCI_mean:0.46703725689425235	NDVI_mean:0.15138069467297915	VCI_mean:0.43910323180443134	Drought_index_mean: 4.832883901779692
******************************End of Entry**********************************************************New Entry**********************
startDate :2021-08-31	EndDate:2021-09-16	 VHI_mean: 0.36265967133735744	TCI_mean:0.315959941401259	NDVI_mean:0.14192480956461467	VCI_mean:0.4093594012734538	Drought_index_mean: 4.089942610826696
******************************End of Entry**********************************************************New Entry**********************
